as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-01,2026Q1,5.3752262418,,,warning,tracking-0.1.0
2026-01-08,2026Q1,5.7102311978,5.3752262418,0.335004956,warning,tracking-0.1.0
2026-01-17,2026Q1,7.8217212632,5.7102311978,2.1114900654,warning,tracking-0.1.0
2026-02-01,2026Q1,6.7004451068,7.8217212632,-1.1212761564,warning,tracking-0.1.0
2026-02-08,2026Q1,6.1459343534,6.7004451068,-0.5545107534,warning,tracking-0.1.0
2026-02-17,2026Q1,3.160284162,6.1459343534,-2.9856501914,warning,tracking-0.1.0
2026-03-01,2026Q1,4.8288919804,3.160284162,1.6686078184,warning,tracking-0.1.0
2026-03-08,2026Q1,5.4173930721,4.8288919804,0.5885010917,warning,tracking-0.1.0
2026-04-01,2026Q2,-5.0029051455,5.4173930721,-10.4202982176,warning,tracking-0.1.0
